date,hospitalCases
27/03/2020,7267
28/03/2020,8278
29/03/2020,9525
30/03/2020,11093
31/03/2020,12597
01/04/2020,13637
02/04/2020,13875
03/04/2020,15546
04/04/2020,17502
05/04/2020,18855
06/04/2020,19493
07/04/2020,20234
08/04/2020,20740
09/04/2020,21005
10/04/2020,21280
11/04/2020,21254
12/04/2020,21687
13/04/2020,21308
14/04/2020,21281
15/04/2020,20582
16/04/2020,20389
17/04/2020,19330
18/04/2020,19456
19/04/2020,19574
20/04/2020,19331
21/04/2020,19139
22/04/2020,18533
23/04/2020,17866
24/04/2020,17060
25/04/2020,16602
26/04/2020,16554
27/04/2020,16661
28/04/2020,15875
29/04/2020,15520
30/04/2020,15163
01/05/2020,14722
02/05/2020,14379
03/05/2020,14187
04/05/2020,14096
05/05/2020,13722
06/05/2020,13147
07/05/2020,12625
08/05/2020,12053
09/05/2020,12015
10/05/2020,11727
11/05/2020,11967
12/05/2020,11591
13/05/2020,11342
14/05/2020,10921
15/05/2020,10691
16/05/2020,10238
17/05/2020,10199
18/05/2020,10231
19/05/2020,10013
20/05/2020,9563
21/05/2020,9293
22/05/2020,9184
23/05/2020,8814
24/05/2020,8814
25/05/2020,8836
26/05/2020,8732
27/05/2020,8220
28/05/2020,7906
29/05/2020,7585
30/05/2020,7267
31/05/2020,7237
01/06/2020,7247
02/06/2020,7086
03/06/2020,6814
04/06/2020,6579
05/06/2020,6378
06/06/2020,6148
07/06/2020,5943
08/06/2020,5930
09/06/2020,5735
10/06/2020,5474
11/06/2020,5179
12/06/2020,5090
13/06/2020,4941
14/06/2020,4908
15/06/2020,4870
16/06/2020,4863
17/06/2020,4719
18/06/2020,4560
19/06/2020,4414
20/06/2020,4253
21/06/2020,4223
22/06/2020,4282
23/06/2020,4135
24/06/2020,4031
25/06/2020,3851
26/06/2020,3621
27/06/2020,3545
28/06/2020,3558
29/06/2020,3750
30/06/2020,3385
01/07/2020,3199
02/07/2020,3080
03/07/2020,2943
04/07/2020,2803
05/07/2020,2742
06/07/2020,2700
07/07/2020,2599
08/07/2020,2455
09/07/2020,2346
10/07/2020,2245
11/07/2020,2120
12/07/2020,2102
13/07/2020,2114
14/07/2020,1994
15/07/2020,1975
16/07/2020,1830
17/07/2020,1805
18/07/2020,1777
19/07/2020,1743
20/07/2020,1735
21/07/2020,1635
22/07/2020,1748
23/07/2020,1539
