Year,Period,Start,End,Days,Bus cash (000s),Bus Oyster PAYG (000s),Bus Contactless (000s),Bus One Day Bus Pass (000s),Bus Day Travelcard (000s),Bus Bus Pass Season (000s),Bus Season Travelcard (000s),Bus Other incl free (000s),Bus Total (000s),Tube Cash (000s),Tube Oyster PAYG (000s),Tube Contactless (000s),Tube Day Travelcard (000s),Tube Season Travelcard (000s),Tube Other incl free (000s),Tube Total (000s),TfL Rail (000s),Overground (000s),DLR (000s),Tram (000s),Air Line (000s)
2000/01,P 01,01 Apr '00,29 Apr '00,29d,884,0,0,210,231,749,566,767,3407,588,0,0,655,1066,200,2509,0,0,96,45.8,0
2000/01,P 02,30 Apr '00,27 May '00,28d,949,0,0,214,205,920,629,824,3740,609,0,0,605,1168,217,2598,0,0,93,46.5,0
2000/01,P 03,28 May '00,24 Jun '00,28d,945,0,0,209,221,849,621,807,3653,607,0,0,650,1154,212,2623,0,0,98,47.1,0
2000/01,P 04,25 Jun '00,22 Jul '00,28d,981,0,0,216,241,855,644,812,3749,642,0,0,708,1196,214,2761,0,0,105,50.8,0
2000/01,P 05,23 Jul '00,19 Aug '00,28d,958,0,0,225,248,665,626,755,3478,583,0,0,730,1165,165,2643,0,0,103,50.3,0
2000/01,P 06,20 Aug '00,16 Sep '00,28d,984,0,0,243,236,784,624,771,3642,591,0,0,702,1164,151,2608,0,0,100,49.2,0
2000/01,P 07,17 Sep '00,14 Oct '00,28d,1001,0,0,205,216,1032,688,807,3949,642,0,0,639,1286,196,2763,0,0,107,48.8,0
2000/01,P 08,15 Oct '00,11 Nov '00,28d,979,0,0,199,221,961,674,813,3846,632,0,0,668,1298,220,2819,0,0,113,51.5,0
2000/01,P 09,12 Nov '00,09 Dec '00,28d,971,0,0,184,212,1040,669,832,3908,655,0,0,640,1302,242,2839,0,0,114,54,0
2000/01,P 10,10 Dec '00,06 Jan '01,28d,912,0,0,192,211,711,516,791,3333,540,0,0,631,993,195,2359,0,0,90,55.3,0
2000/01,P 11,07 Jan '01,03 Feb '01,28d,943,0,0,193,186,1018,655,830,3826,584,0,0,556,1259,234,2634,0,0,110,50.1,0
2000/01,P 12,04 Feb '01,03 Mar '01,28d,975,0,0,194,210,954,645,827,3804,588,0,0,617,1237,246,2688,0,0,120,50.5,0
2000/01,P 13,04 Mar '01,31 Mar '01,28d,974,0,0,186,204,1049,652,841,3905,587,0,0,584,1262,266,2699,0,0,119,47.7,0
2001/02,P 01,01 Apr '01,28 Apr '01,28d,968,0,0,201,215,867,578,801,3630,596,0,0,658,1110,226,2590,0,0,116,47.7,0
2001/02,P 02,29 Apr '01,26 May '01,28d,997,0,0,204,194,1039,602,831,3868,622,0,0,579,1166,239,2606,0,0,122,48.5,0
2001/02,P 03,27 May '01,23 Jun '01,28d,973,0,0,265,208,988,591,814,3838,615,0,0,618,1145,227,2605,0,0,118,48.8,0
2001/02,P 04,24 Jun '01,21 Jul '01,28d,1002,0,0,305,226,1005,601,818,3957,653,0,0,672,1169,222,2716,0,0,115,52.3,0
2001/02,P 05,22 Jul '01,18 Aug '01,28d,960,0,0,343,232,810,569,771,3684,586,0,0,690,1105,195,2575,0,0,106,47.7,0
2001/02,P 06,19 Aug '01,15 Sep '01,28d,968,0,0,361,221,945,563,786,3844,589,0,0,658,1099,187,2533,0,0,106,48.5,0
2001/02,P 07,16 Sep '01,13 Oct '01,28d,996,0,0,334,198,1218,624,805,4175,629,0,0,589,1218,198,2634,0,0,110,53.4,0
2001/02,P 08,14 Oct '01,10 Nov '01,28d,949,0,0,346,208,1164,600,809,4076,633,0,0,640,1225,224,2722,0,0,124,51.8,0
2001/02,P 09,11 Nov '01,08 Dec '01,28d,933,0,0,322,205,1251,598,831,4140,654,0,0,632,1217,250,2754,0,0,117,55,0
2001/02,P 10,09 Dec '01,05 Jan '02,28d,857,0,0,329,205,866,448,786,3492,535,0,0,629,914,197,2275,0,0,89,54.5,0
2001/02,P 11,06 Jan '02,02 Feb '02,28d,935,0,0,341,188,1266,573,822,4125,571,0,0,608,1169,226,2574,0,0,111,52.4,0
2001/02,P 12,03 Feb '02,02 Mar '02,28d,915,0,0,347,214,1218,570,813,4078,593,0,0,692,1164,236,2685,0,0,121,52.1,0
2001/02,P 13,03 Mar '02,31 Mar '02,29d,921,0,0,338,216,1181,534,787,3977,587,0,0,701,1106,235,2630,0,0,117,53.8,0
2002/03,P 01,01 Apr '02,27 Apr '02,27d,897,0,0,381,225,1302,558,807,4171,610,0,0,702,1146,216,2675,0,0,126,47.9,0
2002/03,P 02,28 Apr '02,25 May '02,28d,918,0,0,361,212,1348,549,803,4191,619,0,0,633,1129,227,2609,0,0,121,51.7,0
2002/03,P 03,26 May '02,22 Jun '02,28d,910,0,0,375,227,1218,511,787,4027,601,0,0,677,1054,206,2538,0,0,111,51.8,0
2002/03,P 04,23 Jun '02,20 Jul '02,28d,957,0,0,420,238,1278,544,785,4221,625,0,0,711,1122,200,2658,0,0,124,55.3,0
2002/03,P 05,21 Jul '02,17 Aug '02,28d,919,0,0,433,243,1057,493,749,3893,584,0,0,733,1045,182,2544,0,0,120,51.3,0
2002/03,P 06,18 Aug '02,14 Sep '02,28d,920,0,0,449,234,1185,491,767,4046,582,0,0,713,1044,184,2523,0,0,118,51.5,0
2002/03,P 07,15 Sep '02,12 Oct '02,28d,951,0,0,424,216,1490,542,787,4411,608,0,0,656,1148,196,2609,0,0,131,53.7,0
2002/03,P 08,13 Oct '02,09 Nov '02,28d,917,0,0,404,243,1427,553,798,4341,660,0,0,735,1177,213,2786,0,0,138,53.3,0
2002/03,P 09,10 Nov '02,07 Dec '02,28d,940,0,0,391,225,1512,543,828,4440,649,0,0,683,1164,250,2747,0,0,138,54.9,0
2002/03,P 10,08 Dec '02,04 Jan '03,28d,863,0,0,388,224,1075,408,782,3740,547,0,0,676,871,199,2292,0,0,105,53.9,0
2002/03,P 11,05 Jan '03,01 Feb '03,28d,922,0,0,401,200,1483,527,825,4357,576,0,0,601,1125,241,2543,0,0,129,53,0
2002/03,P 12,02 Feb '03,01 Mar '03,28d,942,0,0,423,215,1440,516,820,4356,552,0,0,650,1102,251,2555,0,0,131,52.1,0
2002/03,P 13,02 Mar '03,31 Mar '03,30d,961,0,0,429,210,1584,510,782,4476,537,0,0,611,1108,260,2517,0,0,135,50.8,0
2003/04,P 01,01 Apr '03,26 Apr '03,26d,935,0,0,490,213,1429,488,900,4456,533,0,0,713,1082,247,2575,0,0,130,49.8,0
2003/04,P 02,27 Apr '03,24 May '03,28d,943,0,0,480,210,1615,494,880,4621,566,0,0,643,1077,269,2556,0,0,135,51.7,0
2003/04,P 03,25 May '03,21 Jun '03,28d,946,0,0,556,224,1512,489,853,4580,555,0,0,685,1060,243,2542,0,0,130,51.8,0
2003/04,P 04,22 Jun '03,19 Jul '03,28d,977,0,0,547,241,1532,498,849,4642,578,0,0,734,1082,210,2604,0,0,131,55.3,0
2003/04,P 05,20 Jul '03,16 Aug '03,28d,938,0,0,564,243,1294,471,800,4310,524,0,0,738,1027,197,2486,0,0,126,51.3,0
2003/04,P 06,17 Aug '03,13 Sep '03,28d,916,0,0,584,239,1412,475,819,4445,524,0,0,730,1031,192,2476,0,0,125,51.5,0
2003/04,P 07,14 Sep '03,11 Oct '03,28d,944,0,0,563,235,1775,529,856,4902,601,0,0,721,1150,208,2680,0,0,138,53.7,0
2003/04,P 08,12 Oct '03,08 Nov '03,28d,931,0,0,562,243,1742,556,869,4903,575,0,0,738,1166,237,2716,0,0,140,53.3,0
